	As	Cd	Co	Cr	Cu	Fe	La	Mn	Ni	Y	Yb	Zn
YAL053W	0	0	0	0	0	0	-1	0	0	1	1	0
YAL058W	0	0	0	0	-1	0	1	0	0	1	1	0
YAR020C	0	0	0	0	0	0	1	0	0	1	1	0
YBR015C	0	0	0	0	0	0	1	0	0	0	1	0
YBR036C	-1	-1	0	0	-1	-1	-1	-1	0	-1	-1	0
YBR058C-A	0	0	0	0	0	0	1	0	0	1	1	0
YBR085C-A	0	0	0	0	0	0	1	0	0	1	1	0
YBR085W	-1	0	0	0	0	0	1	0	0	1	1	0
YBR101C	0	0	0	0	0	0	1	0	0	1	1	0
YBR105C	0	0	0	0	0	0	1	0	0	1	1	0
YBR191W	0	0	0	1	0	0	1	0	1	1	1	0
YBR279W	-1	-1	0	0	0	0	1	0	0	1	1	0
YCL008C	-1	-1	0	-1	-1	0	1	0	1	1	1	0
YCR034W	-1	0	0	-1	0	0	1	0	0	1	1	0
YCR063W	1	0	0	-1	0	0	-1	-1	0	-1	-1	0
YCR068W	-1	-1	0	0	0	0	1	0	0	1	1	0
YCR094W	0	0	-1	0	0	0	-1	-1	-1	-1	-1	-1
YDL006W	0	-1	-1	-1	-1	0	-1	-1	-1	1	1	-1
YDL119C	-1	0	0	0	0	0	1	0	0	0	1	0
YDL133W	-1	-1	0	0	0	0	-1	0	0	0	1	-1
YDL151C	-1	0	0	-1	0	0	-1	-1	0	-1	-1	0
YDL181W	0	0	0	0	0	0	1	0	0	0	1	0
YDL192W	0	0	-1	0	0	0	-1	0	0	0	-1	0
YDL232W	0	0	0	0	0	0	1	0	0	1	1	0
YDR027C	-1	-1	0	-1	-1	0	-1	-1	0	-1	-1	-1
YDR069C	-1	-1	-1	-1	0	0	1	0	1	1	1	-1
YDR127W	-1	0	-1	0	0	0	1	0	0	1	1	0
YDR162C	-1	0	-1	0	0	0	-1	0	-1	1	1	-1
YDR202C	0	0	-1	0	0	0	-1	-1	-1	0	1	-1
YDR294C	-1	0	0	0	0	0	1	0	0	1	1	0
YDR297W	0	0	0	0	0	0	1	1	0	1	1	0
YDR300C	-1	-1	0	-1	0	0	1	0	1	1	1	-1
YDR326C	0	0	0	0	0	0	1	0	0	1	1	0
YDR372C	0	0	0	0	-1	0	-1	0	0	-1	-1	0
YDR382W	0	0	0	0	-1	0	-1	0	0	-1	-1	0
YDR389W	0	0	-1	0	-1	0	-1	0	0	0	1	0
YDR432W	0	-1	0	0	-1	0	1	-1	-1	1	1	0
YDR484W	-1	0	-1	0	-1	0	-1	-1	0	-1	-1	-1
YER019W	0	0	0	-1	-1	-1	1	0	0	1	1	0
